1. Generation,2. Generation,3. Generation,4. Generation,5. Generation,6. Generation,7. Generation,8. Generation,9. Generation,10. Generation,11. Generation,12. Generation,13. Generation,14. Generation,15. Generation,16. Generation,17. Generation,18. Generation,19. Generation,20. Generation,21. Generation,22. Generation,23. Generation,24. Generation,25. Generation,26. Generation,27. Generation,28. Generation,29. Generation,30. Generation,31. Generation,32. Generation,33. Generation,34. Generation,35. Generation,36. Generation,37. Generation,38. Generation,39. Generation,40. Generation,41. Generation,42. Generation,43. Generation,44. Generation,45. Generation,46. Generation,47. Generation,48. Generation,49. Generation,50. Generation,51. Generation,52. Generation,53. Generation
49,50,58,50,396.6666666666667,1016,50.666666666666664,612.3333333333334,1019.3333333333334,894.6666666666666,648.3333333333334,1112.3333333333333,1208.6666666666667,1332,1093,1309,1492.3333333333333,1356.6666666666667,1479.3333333333333,1241.6666666666667,1102.3333333333333,972.3333333333334,1287.6666666666667,85,973,1677,1820,1106.6666666666667,995,50,50,1078.6666666666667,1437,1218,60.333333333333336,1558.3333333333333,1612.3333333333333,1616,1711.3333333333333,1831.3333333333333,1724.3333333333333,1701,1973.6666666666667,1850,852.3333333333334,4656,2726.6666666666665,16175.666666666666,5484.666666666667,6343.666666666667,22521.333333333332,9969.333333333334,38694.666666666664
49,50,57.333333333333336,50,52.666666666666664,343.3333333333333,326,840.6666666666666,1019.3333333333334,49.333333333333336,692.6666666666666,1112.3333333333333,838,1332,1099,67.33333333333333,1304.3333333333333,1356.6666666666667,1536.3333333333333,1001.3333333333334,62.666666666666664,971.6666666666666,1616.3333333333333,50,1224.3333333333333,1447.3333333333333,207.33333333333334,1120,50,49.333333333333336,1506,1078.3333333333333,50,1483,1112.6666666666667,1558.3333333333333,79.33333333333333,1371.6666666666667,1712,1831.3333333333333,1724.6666666666667,2147.6666666666665,1729.3333333333333,1806.3333333333333,1447.6666666666667,6808.333333333333,142.33333333333334,12421,1770,9022.666666666666,16665,4805.333333333333,25308.333333333332
56,50,50,50,49.333333333333336,64.66666666666667,1419,840.6666666666666,1019.3333333333334,1329.3333333333333,952,1112.3333333333333,1209,1280.3333333333333,1116,901.3333333333334,1167,1356.6666666666667,1479.3333333333333,1826.6666666666667,1058.6666666666667,736.6666666666666,1478,1089.6666666666667,1250.6666666666667,1447.3333333333333,50,924.6666666666666,1027,1105.3333333333333,1610.6666666666667,1078,1638.3333333333333,991.6666666666666,1112,1411.6666666666667,1612,1196,49,2338,2323.6666666666665,1459.3333333333333,50,2089.3333333333335,2706.6666666666665,11213.333333333334,45,11633,49.333333333333336,877.3333333333334,12423.333333333334,22203.666666666668,146
49,50,59.666666666666664,50,49,345.3333333333333,1419,840.6666666666666,1019.3333333333334,1127,1424.6666666666667,1112.3333333333333,1209.3333333333333,1353,1116,901.3333333333334,1806.3333333333333,1356.6666666666667,1479.3333333333333,50,1307.6666666666667,736.3333333333334,50,49.666666666666664,1113.6666666666667,1291.6666666666667,1543.6666666666667,49,994.3333333333334,1009.3333333333334,1425.3333333333333,1078,1534.6666666666667,991.6666666666666,60.333333333333336,1411.3333333333333,1611.3333333333333,1371.3333333333333,1711.3333333333333,2040.6666666666667,2323.6666666666665,1878.6666666666667,49,49,7403.333333333333,1780.6666666666667,85.33333333333333,14440,2840.3333333333335,52.333333333333336,35900.333333333336,51,18480.333333333332
49,50,49.666666666666664,51,49,850.3333333333334,50,840.6666666666666,1019.3333333333334,875,1365.6666666666667,1112.3333333333333,1209,1097.6666666666667,1116,55.333333333333336,1167.3333333333333,1356.6666666666667,1536.3333333333333,1241.6666666666667,49.333333333333336,821.6666666666666,1585.3333333333333,1132,1250.6666666666667,1117.6666666666667,1514.6666666666667,49.333333333333336,50,1186.3333333333333,50,1078,50,1217.6666666666667,1773,1411.6666666666667,1349.3333333333333,1468.6666666666667,1640.6666666666667,2445.3333333333335,66.33333333333333,1326.3333333333333,1973.6666666666667,840.6666666666666,59,7095.333333333333,3716.6666666666665,12862.666666666666,49.333333333333336,49,6437.666666666667,2008,49.333333333333336
49,49.666666666666664,49.666666666666664,50,58.333333333333336,51,1243,49.333333333333336,877.6666666666666,954,49.333333333333336,59.333333333333336,49.333333333333336,49.333333333333336,1068.6666666666667,50,853,1293.3333333333333,1322.6666666666667,67,55.666666666666664,1268.3333333333333,1478,995.6666666666666,343.6666666666667,1395.3333333333333,1041.3333333333333,1428,63.333333333333336,1006.6666666666666,1408.6666666666667,1078,50,969,50,949.3333333333334,50,1198.3333333333333,86.66666666666667,760.3333333333334,1594.6666666666667,49,753.6666666666666,18287.333333333332,1178,61,85,709.3333333333334,841,49,1200.3333333333333,49.333333333333336,49.333333333333336
49,49.333333333333336,49.333333333333336,75,49,64,1268,960,1019.3333333333334,1127,1365.6666666666667,1112,911.3333333333334,1280.3333333333333,1332.6666666666667,901.3333333333334,1167.6666666666667,1356.6666666666667,73,983.3333333333334,1308,821.3333333333334,1508.6666666666667,1132,1110,1165.3333333333333,1543.6666666666667,1292.3333333333333,1160.6666666666667,1090.6666666666667,1425.3333333333333,1011.3333333333334,1442.6666666666667,1217.6666666666667,1773,1558.3333333333333,1711.3333333333333,60,1306.3333333333333,49,1724.3333333333333,49,1318,2136.3333333333335,5192.666666666667,1926,46,50.333333333333336,4413.333333333333,26437,24892,21965.666666666668,154357.66666666666
49,49,49.333333333333336,50,57.333333333333336,1320,1148.3333333333333,394.3333333333333,49.333333333333336,1319,74.66666666666667,59.333333333333336,911,49.333333333333336,60.333333333333336,66.66666666666667,1151,1117.6666666666667,70.66666666666667,1189.6666666666667,1307.6666666666667,971.6666666666666,1616,67,1642.3333333333333,1284.6666666666667,1543.6666666666667,49,815.3333333333334,882,1062,1027,50,775,1111.6666666666667,49,1789,1371.6666666666667,1116.3333333333333,1305.6666666666667,1002.6666666666666,77.66666666666667,1318.3333333333333,1453,1833,1176,89.33333333333333,339.6666666666667,980.6666666666666,1283.6666666666667,930,50,1568.6666666666667
49,49,59.666666666666664,50,49,1091.3333333333333,1242.6666666666667,394.3333333333333,1019.3333333333334,875.3333333333334,1513.3333333333333,1112,1209.3333333333333,1352.6666666666667,1116,901.6666666666666,1150.6666666666667,49.333333333333336,49,60.666666666666664,1308,1056.3333333333333,49.333333333333336,995.3333333333334,50,49,1543.6666666666667,1292.3333333333333,1084.6666666666667,49,1425.3333333333333,1506.6666666666667,1470,721.3333333333334,1773,1411.3333333333333,1611.6666666666667,49.666666666666664,1781.6666666666667,49,1819.3333333333333,1326,1315.3333333333333,1761,1699.6666666666667,14651.333333333334,95,145,13859.333333333334,5728,4660.333333333333,17034,17544.666666666668
49,50,50.333333333333336,50,49,1293,326,1048.6666666666667,1019.3333333333334,1359.6666666666667,871.6666666666666,1112.3333333333333,911.3333333333334,62,930,1004.6666666666666,50,1269,1536.3333333333333,1000.3333333333334,1308,1056,1478.3333333333333,49,1083.3333333333333,1090.6666666666667,1372.6666666666667,1292.6666666666667,1161,1090.3333333333333,1425.3333333333333,1078,1562,53.333333333333336,1772.3333333333333,1558.6666666666667,1611.6666666666667,2246.3333333333335,1540,2337.6666666666665,2323.6666666666665,1472.3333333333333,49,49,3291,2038.6666666666667,795.3333333333334,4130.333333333333,5721,1726,19232,49,56.333333333333336
